width,height,n_pois,visibility,expansion_level,sleep_duration,time_horizon,abstract_aggregate,abstract_width,abstract_height,gamma,expand_poi,domain_variation,simulation_variation
6,3,2,null,1,0,500,MEAN,3,3,0.99,true,1,1
6,3,2,null,1,0,500,MEAN,3,3,0.99,true,1,2
6,3,2,null,1,0,500,MEAN,3,3,0.99,true,2,1
6,3,2,null,1,0,500,MEAN,3,3,0.99,true,2,2
6,3,3,null,1,0,500,MEAN,3,3,0.99,true,1,1
6,3,3,null,1,0,500,MEAN,3,3,0.99,true,1,2
6,3,3,null,1,0,500,MEAN,3,3,0.99,true,2,1
6,3,3,null,1,0,500,MEAN,3,3,0.99,true,2,2
6,3,4,null,1,0,500,MEAN,3,3,0.99,true,1,1
6,3,4,null,1,0,500,MEAN,3,3,0.99,true,1,2
6,3,4,null,1,0,500,MEAN,3,3,0.99,true,2,1
6,3,4,null,1,0,500,MEAN,3,3,0.99,true,2,2
12,6,2,null,1,0,500,MEAN,3,3,0.99,true,1,1
12,6,2,null,1,0,500,MEAN,3,3,0.99,true,1,2
12,6,2,null,1,0,500,MEAN,3,3,0.99,true,2,1
12,6,2,null,1,0,500,MEAN,3,3,0.99,true,2,2
12,6,3,null,1,0,500,MEAN,3,3,0.99,true,1,1
12,6,3,null,1,0,500,MEAN,3,3,0.99,true,1,2
12,6,3,null,1,0,500,MEAN,3,3,0.99,true,2,1
12,6,3,null,1,0,500,MEAN,3,3,0.99,true,2,2
12,6,4,null,1,0,500,MEAN,3,3,0.99,true,1,1
12,6,4,null,1,0,500,MEAN,3,3,0.99,true,1,2
12,6,4,null,1,0,500,MEAN,3,3,0.99,true,2,1
12,6,4,null,1,0,500,MEAN,3,3,0.99,true,2,2
24,12,2,null,1,0,500,MEAN,3,3,0.99,true,1,1
24,12,2,null,1,0,500,MEAN,3,3,0.99,true,1,2
24,12,2,null,1,0,500,MEAN,3,3,0.99,true,2,1
24,12,2,null,1,0,500,MEAN,3,3,0.99,true,2,2
24,12,3,null,1,0,500,MEAN,3,3,0.99,true,1,1
24,12,3,null,1,0,500,MEAN,3,3,0.99,true,1,2
24,12,3,null,1,0,500,MEAN,3,3,0.99,true,2,1
24,12,3,null,1,0,500,MEAN,3,3,0.99,true,2,2
24,18,2,null,1,0,500,MEAN,3,3,0.99,true,1,1
24,18,2,null,1,0,500,MEAN,3,3,0.99,true,1,2
24,18,2,null,1,0,500,MEAN,3,3,0.99,true,2,1
24,18,2,null,1,0,500,MEAN,3,3,0.99,true,2,2
